Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,112.4375,116.0,111.875,116.0,10347700,86.91210699999999
2000-01-04,114.0,114.5,110.875,112.0625,8227800,83.961966
2000-01-05,112.9375,119.75,112.125,116.0,12733200,86.91210699999999
2000-01-06,118.0,118.9375,113.5,114.0,7971900,85.413623
2000-01-07,117.25,117.9375,110.625,113.5,11856700,85.039002
2000-01-10,117.25,119.375,115.375,118.0,8540500,88.41059200000001
2000-01-11,117.875,121.125,116.625,119.0,7873300,89.159834
2000-01-12,119.625,122.0,118.25,119.5,6803800,89.534456
2000-01-13,119.9375,121.0,115.75,118.25,8489700,88.597903
2000-01-14,120.9375,123.3125,117.5,119.625,10956600,89.628111
2000-01-18,119.6875,119.75,115.0,115.75,7643900,86.724797
2000-01-19,115.5625,122.0,112.6875,119.5,8634500,89.534456
2000-01-20,123.0,124.75,119.0,119.0,17783400,89.159834
2000-01-21,121.875,123.0,119.9375,121.5,7868700,91.03294
2000-01-24,121.875,122.875,116.5625,121.5,6499200,91.03294
2000-01-25,116.75,119.5,116.0,119.125,6936900,89.25349
2000-01-26,119.0625,119.9375,116.0,116.75,4895100,87.474039
2000-01-27,118.0,118.4375,111.625,113.5,8324600,85.039002
2000-01-28,112.75,114.1875,110.0625,111.5625,6669400,83.587345
2000-01-31,111.375,112.8125,109.625,112.25,6202700,84.102449
2000-02-01,112.375,113.4375,109.125,110.0,7304700,82.41665400000001
2000-02-02,112.0,115.8125,110.375,113.5,7707700,85.039002
2000-02-03,115.0,117.5,114.0625,117.125,6213800,87.75500500000001
2000-02-04,118.1875,118.4375,114.8125,115.625,5405300,86.63114200000001
2000-02-07,116.0,116.875,113.125,114.125,5779500,85.507278
2000-02-08,116.9375,119.0,116.1875,118.8125,5464300,89.113058
2000-02-09,119.0,119.75,117.0,117.375,5374700,88.034888
2000-02-10,117.6875,119.125,116.875,119.125,4446600,89.347442
2000-02-11,119.0625,119.4375,114.5625,115.375,5749400,86.534826
2000-02-14,116.0,116.375,114.5,116.0625,4544000,87.050472
2000-02-15,115.875,117.4375,113.875,117.125,5177500,87.84738
2000-02-16,116.5,117.3125,115.25,115.75,3966900,86.816088
2000-02-17,116.5,118.875,115.75,116.75,5237500,87.566119
2000-02-18,115.25,115.9375,111.5,112.5,7673400,84.37848699999999
2000-02-22,112.0,113.4375,108.75,111.0,7654800,83.25344
2000-02-23,110.5,110.5,108.5,108.75,7435300,81.565871
2000-02-24,108.8125,111.0,108.1875,110.5,9112000,82.878425
